@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE C35	REAL
@ATTRIBUTE C36	REAL
@ATTRIBUTE C37	REAL
@ATTRIBUTE C38	REAL
@ATTRIBUTE C39	REAL
@ATTRIBUTE C40	REAL
@ATTRIBUTE C41	REAL
@ATTRIBUTE C42	REAL
@ATTRIBUTE C43	REAL
@ATTRIBUTE C44	REAL
@ATTRIBUTE C45	REAL
@ATTRIBUTE C46	REAL
@ATTRIBUTE C47	REAL
@ATTRIBUTE C48	REAL
@ATTRIBUTE C49	REAL
@ATTRIBUTE C50	REAL
@ATTRIBUTE C51	REAL
@ATTRIBUTE C52	REAL
@ATTRIBUTE C53	REAL
@ATTRIBUTE C54	REAL
@ATTRIBUTE C55	REAL
@ATTRIBUTE C56	REAL
@ATTRIBUTE C57	REAL
@ATTRIBUTE C58	REAL
@ATTRIBUTE C59	REAL
@ATTRIBUTE C60	REAL
@ATTRIBUTE C61	REAL
@ATTRIBUTE C62	REAL
@ATTRIBUTE C63	REAL
@ATTRIBUTE C64	REAL
@ATTRIBUTE C65	REAL
@ATTRIBUTE C66	REAL
@ATTRIBUTE C67	REAL
@ATTRIBUTE C68	REAL
@ATTRIBUTE C69	REAL
@ATTRIBUTE C70	REAL
@ATTRIBUTE C71	REAL
@ATTRIBUTE C72	REAL
@ATTRIBUTE C73	REAL
@ATTRIBUTE C74	REAL
@ATTRIBUTE C75	REAL
@ATTRIBUTE C76	REAL
@ATTRIBUTE C77	REAL
@ATTRIBUTE C78	REAL
@ATTRIBUTE C79	REAL
@ATTRIBUTE C80	REAL
@ATTRIBUTE C81	REAL
@ATTRIBUTE C82	REAL
@ATTRIBUTE C83	REAL
@ATTRIBUTE C84	REAL
@ATTRIBUTE C85	REAL
@ATTRIBUTE C86	REAL
@ATTRIBUTE C87	REAL
@ATTRIBUTE C88	REAL
@ATTRIBUTE C89	REAL
@ATTRIBUTE C90	REAL
@ATTRIBUTE C91	REAL
@ATTRIBUTE C92	REAL
@ATTRIBUTE C93	REAL
@ATTRIBUTE C94	REAL
@ATTRIBUTE C95	REAL
@ATTRIBUTE C96	REAL
@ATTRIBUTE C97	REAL
@ATTRIBUTE C98	REAL
@ATTRIBUTE C99	REAL
@ATTRIBUTE C100	REAL
@ATTRIBUTE C101	REAL
@ATTRIBUTE C102	REAL
@ATTRIBUTE C103	REAL
@ATTRIBUTE C104	REAL
@ATTRIBUTE C105	REAL
@ATTRIBUTE C106	REAL
@ATTRIBUTE C107	REAL
@ATTRIBUTE C108	REAL
@ATTRIBUTE C109	REAL
@ATTRIBUTE classe {corn,grain,acq,wheat,ship,money-fx,interest,earn,crude,trade}


@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2529, 0, 0, 0, 0, 0, 0, 0, 1.35, 0, 0, 0, 0, 0, 0, 0.0494, 0, 0.003, 0, 0, 0, 0, 0, 0, 0.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0985, 0, 0, 0, 0, 0.0436, 0, 0.0094, 0.063, 0, 0, 0, 0, 0.2825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1415, 0, 0, 0, 0, 0, 0, 0.0021, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0676, 0, 0,acq
0.2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.605, 0.0177, 0, 0, 0.36, 0, 0, 0, 0.0507, 0.85, 0, 0.0742, 0, 0, 0.202, 0, 0, 0, 0, 0, 0, 0, 0, 0.1736, 0, 0, 0.0631, 0, 0.2078, 0.0436, 0, 0.8725, 0, 0.0718, 0, 0, 12.17, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 0.95, 0, 0, 0, 0.181, 0, 0, 0, 0, 0, 0.0757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0244, 0, 0, 1.7633, 0, 0, 0, 0.0812, 0, 0, 0, 0.9633, 0, 0, 0,acq
0.1186, 0, 0, 0, 0, 0, 0.2767, 0, 0, 0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0354, 0, 0.0933, 0, 0, 0, 0, 0, 0.184, 0, 0, 0, 0.3536, 0, 0, 0, 0, 0.3306, 0.0419, 0, 0.455, 0, 0, 0.14, 0, 5.62, 0, 0, 0, 0, 0, 0, 0.93, 0, 0, 0, 0, 0, 3.3538, 0, 0.8567, 0, 0, 0.035, 0, 0.2271, 0, 0, 0, 0, 0.338, 0, 0.3333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.48, 0, 0, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0055, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1415, 0, 0, 0, 0, 0, 0, 0.0021, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0676, 0, 0,acq
0.0457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6971, 0, 0.1925, 0, 0, 0, 0, 0.0054, 0.735, 0, 0, 0, 0, 0.3, 0.1364, 0, 0, 0.0529, 0, 0.1858, 0, 0, 0, 0, 0, 0, 0, 0.3977, 0, 0.2327, 0, 0, 0, 0, 0.0197, 0, 0, 6.0075, 0, 0, 0.2825, 0, 4.68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.195, 0, 0, 0, 0, 0, 0, 0.0633, 0, 0.8214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1175, 0, 0, 0.0504, 0.2111, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0238, 0, 0, 0, 0, 0, 0, 0.0693, 0, 0, 0.0438, 0, 0.1533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1373, 0, 0, 0.0978, 0, 0.2057, 0, 0, 0.765, 0, 0, 0, 0.0433, 10.3, 0, 0, 0, 0.63, 0, 0, 0.93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0347, 0, 0, 0, 0, 0, 0, 0.698, 0, 0, 0, 0, 0, 0, 0.0486, 1.835, 0, 0, 0, 2.04, 0, 0.0348, 0, 0.0335, 0, 0, 0, 0.0572, 0,acq
0.2025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2017, 0.0657, 0, 0, 0, 0, 0, 0, 0.0033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0788, 0, 0, 3.52, 0, 0, 0, 0, 0.401, 0, 0, 0, 0.1314, 0, 0, 0, 0, 0.1639, 0, 0, 4.71, 0, 0, 0, 0, 6.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3029, 0, 0.0783, 0, 0, 0, 0, 0, 0, 0, 0, 0.2075, 0.0361, 0, 0, 0.7933, 0.1043, 0, 0.068, 0.0348, 0, 0.0335, 0.194, 0, 0, 0, 0,acq
0.0989, 0, 0.0694, 0, 0, 0, 0.5567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1427, 0, 0, 0, 0, 0, 0, 0, 0, 0.1025, 0.605, 0.0034, 0, 2.05, 0, 0, 0, 0, 0.4079, 0, 0, 0.1079, 0, 0, 0, 0, 0, 0, 0, 8.112, 0, 0, 0, 0, 0, 0, 0.0394, 0, 0.0465, 0, 0, 2.8525, 0, 0, 0, 0, 0.94, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4567, 0, 0.242, 0, 0, 0.3671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4175, 0.0608, 0, 0, 0, 0, 0, 0.204, 0, 0, 0, 0, 0, 0, 0.0572, 0,acq
0.1979, 0, 0, 0, 0.705, 0, 0, 0, 0, 0, 0, 0.0857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1519, 0, 0.0162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0738, 0, 0.2023, 0, 0, 0, 0, 0.3417, 0, 0, 0, 0, 0, 0.14, 0.0573, 12.17, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.283, 0, 0, 0, 0.0347, 0, 0, 0, 0.1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0439, 0, 0, 0.18, 0, 0, 0, 0.0748, 0, 0, 0, 0, 0.088, 0, 0,acq
