@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE C35	REAL
@ATTRIBUTE C36	REAL
@ATTRIBUTE C37	REAL
@ATTRIBUTE C38	REAL
@ATTRIBUTE C39	REAL
@ATTRIBUTE C40	REAL
@ATTRIBUTE C41	REAL
@ATTRIBUTE C42	REAL
@ATTRIBUTE C43	REAL
@ATTRIBUTE C44	REAL
@ATTRIBUTE C45	REAL
@ATTRIBUTE C46	REAL
@ATTRIBUTE C47	REAL
@ATTRIBUTE C48	REAL
@ATTRIBUTE C49	REAL
@ATTRIBUTE C50	REAL
@ATTRIBUTE C51	REAL
@ATTRIBUTE C52	REAL
@ATTRIBUTE C53	REAL
@ATTRIBUTE C54	REAL
@ATTRIBUTE C55	REAL
@ATTRIBUTE C56	REAL
@ATTRIBUTE C57	REAL
@ATTRIBUTE C58	REAL
@ATTRIBUTE C59	REAL
@ATTRIBUTE C60	REAL
@ATTRIBUTE C61	REAL
@ATTRIBUTE C62	REAL
@ATTRIBUTE C63	REAL
@ATTRIBUTE C64	REAL
@ATTRIBUTE C65	REAL
@ATTRIBUTE C66	REAL
@ATTRIBUTE C67	REAL
@ATTRIBUTE C68	REAL
@ATTRIBUTE C69	REAL
@ATTRIBUTE C70	REAL
@ATTRIBUTE C71	REAL
@ATTRIBUTE C72	REAL
@ATTRIBUTE C73	REAL
@ATTRIBUTE C74	REAL
@ATTRIBUTE C75	REAL
@ATTRIBUTE C76	REAL
@ATTRIBUTE C77	REAL
@ATTRIBUTE C78	REAL
@ATTRIBUTE C79	REAL
@ATTRIBUTE C80	REAL
@ATTRIBUTE C81	REAL
@ATTRIBUTE C82	REAL
@ATTRIBUTE C83	REAL
@ATTRIBUTE C84	REAL
@ATTRIBUTE C85	REAL
@ATTRIBUTE C86	REAL
@ATTRIBUTE C87	REAL
@ATTRIBUTE C88	REAL
@ATTRIBUTE C89	REAL
@ATTRIBUTE C90	REAL
@ATTRIBUTE C91	REAL
@ATTRIBUTE C92	REAL
@ATTRIBUTE C93	REAL
@ATTRIBUTE C94	REAL
@ATTRIBUTE C95	REAL
@ATTRIBUTE C96	REAL
@ATTRIBUTE C97	REAL
@ATTRIBUTE C98	REAL
@ATTRIBUTE C99	REAL
@ATTRIBUTE C100	REAL
@ATTRIBUTE C101	REAL
@ATTRIBUTE C102	REAL
@ATTRIBUTE C103	REAL
@ATTRIBUTE C104	REAL
@ATTRIBUTE classe {corn,grain,acq,wheat,ship,money-fx,interest,earn,crude,trade}


@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0331, 0.2529, 0, 0, 0, 0, 0, 0, 1.35, 0.1824, 0, 0, 0, 0, 0, 0.0494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0985, 0.585, 0, 0, 0, 0.0436, 0, 0, 0.0633, 0.063, 0, 0, 0, 0, 0, 0, 0.3263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2271, 0, 0, 0, 0.0578, 0, 0, 1.49, 0, 0, 0, 0, 0, 0.2183, 0, 0.15, 0, 0, 0, 0, 0, 0, 0, 0, 0.0264,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0243, 0, 0, 0, 0, 0, 0, 0, 0, 0.024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0676, 0, 0,acq
0, 0.0661, 0.2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0611, 0, 0, 0, 0, 0, 0, 0, 0, 0.295, 0, 0, 0, 0.19, 0, 0, 0, 0, 0, 0, 0, 0, 0.202, 0, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0.0631, 0, 0, 0, 0.0436, 0.0484, 0, 0, 0, 0, 0, 0, 0.0718, 0, 0, 12.17, 0, 0, 0, 0, 0, 0, 0, 0, 0.0695, 0, 0, 0, 0, 0, 0, 0.0757, 0, 0, 0.1314, 0, 0, 0, 0, 0, 0.0244, 0, 1.7633, 0, 0, 0, 0, 0, 0, 0.0812, 0, 0, 0.9633, 0, 0, 0.127,acq
0, 0.033, 0.1186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6033, 0, 0, 0, 0, 0.4086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.081, 0.0933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3538, 0.8567, 0, 0.077, 0.2271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.094, 0.1505, 0, 0, 0, 0, 0, 0.48, 0, 0, 0.1324,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0243, 0, 0, 0, 0, 0, 0, 0, 0, 0.0163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0.1143, 0, 0, 0, 0, 0, 0, 0.1168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0676, 0, 0.0388,acq
0, 0, 0.0457, 0.1967, 0, 0, 0, 0, 0, 0, 0, 0, 0.1221, 0, 0, 0.0821, 0, 0, 0, 0, 0, 0, 0, 0.3455, 0, 0, 0, 0.0955, 0, 0, 0, 0, 0, 0, 0, 0.1858, 0, 0.032, 0, 0, 0, 0, 0, 0, 0.3977, 0, 0, 0, 0, 0, 0, 0, 0.1248, 0, 0.1132, 0, 0, 0, 0, 0, 0.115, 0, 0, 0, 4.68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.195, 0, 0, 0, 0, 0, 0.8214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1175, 0, 0.0504, 0.2111, 0.0464,acq
0, 0.0578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0574, 0, 0, 0, 0, 0, 0, 0, 0, 0.3758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0343, 0.1533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0978, 0, 0, 0.1033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0433, 10.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0486, 1.835, 0, 0, 0, 0, 0, 0, 0, 0.0348, 0, 0.0335, 0, 0, 0.0572, 0,acq
0, 0.0661, 0.2025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0636, 0, 0, 0, 0, 0, 0.4033, 0, 0, 0, 0, 0.3192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.308, 0, 0, 0, 0.0472, 0, 0, 0.1767, 0, 0, 0, 0, 0, 0, 6.55, 0, 0, 0, 0, 0, 0, 0, 0, 0.0473, 0, 0, 0, 0, 0, 0, 0.3029, 0.0783, 0, 0, 0, 0, 0, 0.995, 0, 0.0361, 0, 0.7933, 0, 0, 0, 0, 0.1043, 0.068, 0.0348, 0, 0.0335, 0, 0, 0, 0,acq
0, 0, 0.0989, 0, 0.0694, 0, 0, 0, 0, 0, 0, 0, 0.1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3571, 0, 0, 0, 0, 0, 0.1025, 0, 0, 0, 0, 0, 0, 0, 0.0363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0394, 0, 0, 0.0514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0.0559, 0, 0, 0, 0.4567, 0, 0, 0.3671, 0, 0, 0, 0, 0, 0, 0, 0, 0.0608, 0, 0, 0, 0, 0, 0, 0, 0.204, 0, 0, 0, 0, 0, 0.0572, 0.1233,acq
0, 0, 0.1979, 0, 0, 0, 0, 0, 0, 0.1408, 0, 0, 0, 0, 0, 0.0857, 0, 0, 0, 0, 0, 0, 0, 0.2829, 0, 0, 0, 0, 0, 0.1519, 0, 0, 0.0588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2333, 0, 0, 0.0463, 0, 0, 0.0573, 12.17, 0, 0.0943, 0, 0, 0, 0, 0, 0, 0.0459, 0, 0, 0, 0, 0, 0.1061, 0, 0.1042, 0, 0.1843, 0.0578, 0, 0, 0, 0, 0.0439, 0, 0.18, 0, 0, 0, 0.0584, 0, 0, 0.0748, 0, 0, 0, 0.088, 0, 0.0591,acq
