@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE classe {612,111,041,211,388,185,344}


@DATA
0, 0, 0, 0, 0.0108, 0.0148, 0.014, 0, 1.2376,041
0, 0, 0, 0, 0.0682, 0, 0, 0, 0.0224,041
0, 0.2731, 0.0509, 0, 0.0214, 0.0569, 0.0177, 6.514, 0.0984,111
0, 2.16, 0.0175, 0, 0.2166, 0.0279, 0.0513, 0.17, 0.115,111
0, 0.3108, 0.0216, 0, 0.1567, 0.0451, 0.0252, 0, 0.0295,185
0, 0.7577, 0.0194, 0, 0.2283, 0.0315, 0, 0, 0.1371,185
0.7136, 0.0931, 1.3662, 0, 0.0492, 0.0642, 0.0502, 0, 0.0497,211
3.2621, 0, 0.037, 0, 0.0393, 0.455, 0.1992, 0, 0.1368,211
0, 0.0858, 0.0154, 3.1908, 0.0182, 0.6984, 0.0177, 0, 0.0687,344
0, 0.0773, 0.0662, 0.0708, 0.2931, 0.0754, 0.0419, 0, 0.0782,344
0, 0.0381, 0.0348, 0, 0.2541, 0.0464, 0.2742, 0, 0.0387,388
0.0479, 0.0258, 0.0062, 0, 0.3703, 0.0318, 0.0456, 0, 0.0947,388
0.1214, 0.0208, 0, 0, 0.0187, 0.0224, 1.1544, 0, 0.0455,612
0, 0.0535, 0, 0, 0.2041, 0.0486, 0.2944, 0, 0.0547,612
