@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE classe {612,111,041,211,388,185,344}


@DATA
0.0334, 0, 0.0084, 0,041
0, 0, 0, 0,041
0.1145, 0.2731, 0.0439, 0,111
0.0464, 2.16, 0.015, 0,111
0.0228, 0.3108, 0.0186, 0,185
0.007, 0.7577, 0.0167, 0,185
0.0455, 0.0931, 1.3347, 0,211
0.2902, 0, 0.2145, 0,211
0.0508, 0.0858, 0.0451, 3.0754,344
0.0379, 0.0773, 0.057, 0.0654,344
0.283, 0.0381, 0.03, 0.0654,388
0.0413, 0.0258, 0.0053, 0,388
1.1215, 0.0208, 0, 0,612
0.2806, 0.0535, 0.0252, 0,612
