@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE classe {612,111,041,211,388,185,344}


@DATA
0.0531, 0, 0.0162, 0, 0.1231, 0.0358,041
0, 0, 0, 0, 0.0542, 0,041
0, 0.2731, 0.0543, 0, 0.0519, 0.0986,111
0, 2.16, 0.0162, 0, 0.1947, 0.023,111
0, 0.3108, 0.02, 0, 0.1322, 0.0377,185
0, 0.7577, 0.018, 0, 0.1924, 0.0274,185
0.6244, 0.0931, 1.322, 0, 0.0385, 0.0595,211
3.0656, 0, 0.0343, 0, 0.0639, 0.45,211
0, 0.0858, 0.0143, 3.1908, 0.0218, 0.6908,344
0, 0.0773, 0.0684, 0.0708, 0.2413, 0.0743,344
0, 0.0381, 0.0394, 0, 0.2497, 0.0409,388
0.0419, 0.0258, 0.0057, 0, 0.2989, 0.0261,388
0.1594, 0.0208, 0, 0, 0.1696, 0.0119,612
0, 0.0535, 0.0414, 0, 0.1893, 0.0467,612
